identity,x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
cos(x/2)=Sqrt[(1+cos(x))/2],0.000000e+00,-nan,0,0,1865452045155277,0,0,0,1865452045155277,1865452045155277,1865452045155277,1865452045155277,
cos(x/2)=Sqrt[(1+cos(x))/2],1.570796e+00,-nan,0,0,4018784436598063,0,0,0,4018784436598063,4018784436598063,4018784436598063,4018784436598063,
cos(x/2)=Sqrt[(1+cos(x))/2],1.047198e+00,-nan,1,1,2855167755278763,0,0,0,2855167755278763,2855167755278763,2855167755278763,2855167755278762,
cos(x/2)=Sqrt[(1+cos(x))/2],5.235988e-01,-nan,0,0,2117876797234473,0,0,0,2117876797234473,2117876797234473,2117876797234473,2117876797234473,
cos(x/2)=Sqrt[(1+cos(x))/2],7.853982e-01,-nan,0,0,2428704721205232,0,0,0,2428704721205232,2428704721205232,2428704721205232,2428704721205232,
cos(x/2)=Sqrt[(1+cos(x))/2],3.926991e-01,-nan,0,0,2007854128545243,0,0,0,2007854128545243,2007854128545243,2007854128545243,2007854128545243,
cos(x/2)=Sqrt[(1+cos(x))/2],2.617994e-01,-nan,0,0,1928873254885119,0,0,0,1928873254885119,1928873254885119,1928873254885119,1928873254885119,
cos(x/2)=Sqrt[(1+cos(x))/2],1.000000e+22,-nan,9212071626371855116,9212071626371855116,9206134782552155682,9212071626371855112,9212071626371855115,9212071626371855115,9206134782552155682,9206134782552155682,9206134782552155682,9206134782552155683,
cos(x/2)=Sqrt[(1+cos(x))/2],2.225074e-308,-nan,0,0,1865452045155277,0,0,0,1865452045155277,1865452045155277,1865452045155277,1865452045155277,
cos(x/2)=Sqrt[(1+cos(x))/2],1.797693e+308,-nan,6049,6049,39320817506677649,0,10,0,39320817506677649,39320817506677649,39320817506677649,0,
