fff8000000000000,0000000000000000,7ff8000000000000
7ff0000000000000,0000000000000000,7ff0000000000000
fff0000000000000,0000000000000000,7ff0000000000000
4010000000000000,4008000000000000,4014000000000000
4014000000000000,4028000000000000,402a000000000000
402e000000000000,4020000000000000,4031000000000000
401c000000000000,4038000000000000,4039000000000000
4034000000000000,4035000000000000,403d000000000000
4041800000000000,4028000000000000,4042800000000000
4022000000000000,4044000000000000,4044800000000000
403c000000000000,4046800000000000,404a800000000000
4057c00000000000,4065000000000000,4068200000000000
415c8eb800000000,4154310040000000,41617cc020000000
