identity,x,y,newlib,openlibm,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
log(exp(x))=x,0.000000e+00,-nan,0,0,0,0,0,0,0,0,0,
log(exp(x))=x,2.000000e+00,-nan,0,0,0,1,1,0,0,0,0,
log(exp(x))=x,-2.000000e+00,-nan,0,0,0,1,1,0,0,0,0,
log(exp(x))=x,2.718282e+00,-nan,0,0,0,1,1,0,0,0,0,
log(exp(x))=x,-1.000000e-22,-nan,4277919505920253670,4277919505920253670,0,41032536728051995,1,4277919505920253670,4277919505920253670,4277919505920253670,0,
log(exp(x))=x,1.000000e+22,-nan,not_finite,not_finite,not_finite,196683440423982255,196683440423982255,not_finite,not_finite,not_finite,4936209963552724370,
log(exp(x))=x,2.225074e-308,-nan,4503599627370496,4503599627370496,0,4503599627370496,4503599627370496,4503599627370496,4503599627370496,4503599627370496,0,
log(exp(x))=x,-2.225074e-308,-nan,4503599627370496,4503599627370496,0,4314448443020935169,4026218066869223425,4503599627370496,4503599627370496,4503599627370496,0,
log(exp(x))=x,1.797693e+308,-nan,not_finite,not_finite,not_finite,4479341914098663196,4479341914098663196,not_finite,not_finite,not_finite,9218868437227405311,
log(exp(x))=x,-1.797693e+308,-nan,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,9218868437227405311,
