identity,x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
sin(2*x)=2*sin(x)*cos(x),0.000000e+00,-nan,0,0,0,0,0,0,0,0,0,0,
sin(2*x)=2*sin(x)*cos(x),1.570796e+00,-nan,0,0,0,0,0,0,234842310846620755,0,234842310846620755,0,
sin(2*x)=2*sin(x)*cos(x),1.047198e+00,-nan,1,1,1,0,0,0,212974789682672,1,212974789682672,0,
sin(2*x)=2*sin(x)*cos(x),5.235988e-01,-nan,0,0,0,0,0,0,7426948449774712,0,7426948449774712,0,
sin(2*x)=2*sin(x)*cos(x),7.853982e-01,-nan,0,0,0,0,0,0,3796815606375694,0,3796815606375694,0,
sin(2*x)=2*sin(x)*cos(x),3.926991e-01,-nan,1,1,1,0,0,0,9842153472424359,1,9842153472424359,0,
sin(2*x)=2*sin(x)*cos(x),2.617994e-01,-nan,0,0,0,0,0,0,13079514665820437,0,13079514665820437,0,
sin(2*x)=2*sin(x)*cos(x),1.000000e+22,-nan,0,0,0,0,0,0,783511821329263,0,783511821329263,0,
sin(2*x)=2*sin(x)*cos(x),2.225074e-308,-nan,0,0,0,0,0,0,9007199254740992,0,9007199254740991,0,
sin(2*x)=2*sin(x)*cos(x),1.797693e+308,-nan,not_finite,not_finite,not_finite,0,0,0,not_finite,not_finite,not_finite,0,
