identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
log(exp(x))=x,0.00000000000000000000,                -nan,0,0,0,0,0,0,0,0,
log(exp(x))=x,2.00000000000000000000,                -nan,0,0,1,1,0,0,0,0,
log(exp(x))=x,-2.00000000000000000000,                -nan,0,0,1,1,0,0,0,0,
log(exp(x))=x,2.71828182845904553488,                -nan,0,0,1,1,0,0,0,0,
log(exp(x))=x,-0.00000000000000000000,                -nan,4277919505920253670,4277919505920253670,41032536728051995,1,4277919505920253670,4277919505920253670,4277919505920253670,0,
log(exp(x))=x,10000000000000000000000.00000000000000000000,                -nan,not_finite,not_finite,196683440423982255,196683440423982255,not_finite,not_finite,not_finite,4936209963552724370,
log(exp(x))=x,0.00000000000000000000,                -nan,4503599627370496,4503599627370496,4503599627370496,4503599627370496,4503599627370496,4503599627370496,4503599627370496,0,
log(exp(x))=x,-0.00000000000000000000,                -nan,4503599627370496,4503599627370496,4314448443020935169,4026218066869223425,4503599627370496,4503599627370496,4503599627370496,0,
log(exp(x))=x,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000000000000000,                -nan,not_finite,not_finite,4479341914098663196,4479341914098663196,not_finite,not_finite,not_finite,9218868437227405311,
log(exp(x))=x,-179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000000000000000,                -nan,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,9218868437227405311,
