identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.00000000000000000000,            1.570796,0,0,0,0,0,0,0,7341392851733341,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),1.57079632679489655800,            1.047198,2,2,0,0,2,2,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),1.04719755119659763132,            0.785398,2,2,0,0,2,2,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.78539816339744827900,            0.628319,1,1,0,0,1,1,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.62831853071795862320,            0.523599,3,3,0,0,3,3,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.52359877559829881566,            0.392699,1,1,0,0,1,1,1,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.39269908169872413950,            0.314159,1,1,0,0,1,1,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.31415926535897931160,            0.261799,1,1,0,0,1,1,1,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.26179938779914940783,            0.000000,0,0,0,0,0,0,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),10000000000000000000000.00000000000000000000,            0.000000,0,0,0,0,0,0,0,0,
