identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
cos(x/2)=Sqrt[(1+cos(x))/2],0.00000000000000000000,                -nan,0,0,0,0,1865452045155277,1865452045155277,1865452045155277,1865452045155277,
cos(x/2)=Sqrt[(1+cos(x))/2],1.57079632679489655800,                -nan,0,0,0,0,4018784436598063,4018784436598063,4018784436598063,4018784436598063,
cos(x/2)=Sqrt[(1+cos(x))/2],1.04719755119659763132,                -nan,1,1,0,0,2855167755278763,2855167755278763,2855167755278763,2855167755278762,
cos(x/2)=Sqrt[(1+cos(x))/2],0.52359877559829881566,                -nan,0,0,0,0,2117876797234473,2117876797234473,2117876797234473,2117876797234473,
cos(x/2)=Sqrt[(1+cos(x))/2],0.78539816339744827900,                -nan,0,0,0,0,2428704721205232,2428704721205232,2428704721205232,2428704721205232,
cos(x/2)=Sqrt[(1+cos(x))/2],0.39269908169872413950,                -nan,0,0,0,0,2007854128545243,2007854128545243,2007854128545243,2007854128545243,
cos(x/2)=Sqrt[(1+cos(x))/2],0.26179938779914940783,                -nan,0,0,0,0,1928873254885119,1928873254885119,1928873254885119,1928873254885119,
cos(x/2)=Sqrt[(1+cos(x))/2],10000000000000000000000.00000000000000000000,                -nan,9212071626371855116,9212071626371855116,9212071626371855115,9212071626371855115,9206134782552155682,9206134782552155682,9206134782552155682,9206134782552155683,
cos(x/2)=Sqrt[(1+cos(x))/2],0.00000000000000000000,                -nan,0,0,0,0,1865452045155277,1865452045155277,1865452045155277,1865452045155277,
cos(x/2)=Sqrt[(1+cos(x))/2],179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000000000000000,                -nan,6049,6049,10,0,39320817506677649,39320817506677649,39320817506677649,0,
